Email No.,the,to,ect,and,for,of,a,you,hou,in,on,is,this
Email 1,0,0,1,0,0,0,2,0,0,0,0,1,0
Email 2,8,13,24,6,6,2,102,1,27,18,21,13,0
Email 3,0,0,1,0,0,0,8,0,0,4,2,0,0
Email 4,0,5,22,0,5,1,51,2,10,1,5,9,2
Email 5,7,6,17,1,5,2,57,0,9,3,12,2,2
Email 6,4,5,1,4,2,3,45,1,0,16,12,8,1
Email 7,5,3,1,3,2,1,37,0,0,9,4,6,2
Email 8,0,2,2,3,1,2,21,6,0,2,6,2,0
Email 9,2,2,3,0,0,1,18,0,0,3,3,2,1
Email 10,4,4,35,0,1,0,49,1,16,9,4,1,0
Email 11,22,14,2,9,2,2,104,0,2,35,13,21,9
Email 12,33,28,27,11,10,12,173,6,12,28,47,27,7
Email 13,27,17,3,7,5,8,106,3,0,22,33,16,5
Email 14,4,5,7,1,5,1,37,1,3,8,8,6,1
Email 15,2,4,6,0,3,1,16,0,3,6,4,1,0
Email 16,6,2,1,0,2,0,36,3,1,8,4,6,3
Email 17,3,1,2,2,0,1,17,0,0,1,1,0,0
Email 18,36,21,6,14,7,17,194,25,5,59,37,16,5
Email 19,1,3,1,0,2,0,14,0,0,1,1,5,3
Email 20,3,4,11,0,4,2,32,1,5,1,3,9,5
Email 21,0,0,1,1,0,0,15,1,0,2,0,1,0
Email 22,5,1,13,2,3,1,36,2,5,5,6,5,0
Email 23,0,3,6,0,5,0,30,0,2,6,17,0,0
Email 24,4,0,1,0,2,1,15,1,0,8,1,2,1
Email 25,0,0,1,0,4,0,10,0,0,1,2,1,0
Email 26,12,53,2,14,18,14,287,0,2,86,50,47,6
Email 27,5,4,1,1,4,4,51,0,1,8,6,6,2
Email 28,1,1,2,0,1,0,14,1,0,0,9,1,0
Email 29,18,14,2,3,1,5,87,3,1,16,18,9,0
Email 30,9,11,47,2,3,11,83,2,22,12,23,8,5
Email 31,6,0,1,0,1,7,28,0,0,5,12,2,1
Email 32,0,1,1,0,0,0,8,0,0,2,1,1,0
Email 33,21,14,43,22,9,6,191,15,19,27,47,47,11
Email 34,7,8,10,0,1,0,50,0,4,9,8,11,5
Email 35,6,6,4,0,1,0,39,0,1,8,7,10,5
Email 36,3,2,1,0,1,1,25,1,0,4,5,2,1
Email 37,11,6,7,5,4,1,71,4,5,3,11,7,3
Email 38,5,1,2,1,1,0,19,1,0,0,7,1,0
Email 39,7,2,1,3,1,3,27,1,1,3,4,3,1
Email 40,8,4,1,2,4,1,38,6,0,11,1,4,0
Email 41,2,3,1,5,1,0,45,0,0,8,6,10,2
Email 42,5,5,8,2,2,0,41,1,4,2,6,4,1
Email 43,4,1,1,0,0,0,23,2,0,5,4,1,0
Email 44,2,8,20,4,5,2,57,7,10,10,10,7,6
Email 45,7,8,3,7,6,0,48,3,1,7,5,9,5
Email 46,7,7,2,7,5,5,61,8,1,10,6,2,0
Email 47,4,0,1,0,4,0,21,0,0,6,2,0,0
Email 48,16,13,4,0,13,3,91,14,0,11,24,11,0
Email 49,13,9,3,2,6,3,48,3,0,10,17,8,1
Email 50,2,6,1,1,3,0,56,0,0,4,19,0,0
Email 51,5,5,1,1,2,2,23,0,3,4,12,1,0
Email 52,3,3,1,1,0,3,37,2,0,4,6,4,0
Email 53,10,8,1,1,6,9,52,7,0,12,9,4,0
Email 54,1,1,1,2,0,1,52,0,0,2,4,2,0
Email 55,60,38,7,17,23,11,278,17,0,45,55,26,1
Email 56,0,1,2,0,1,0,13,1,0,0,8,0,0
Email 57,0,5,2,0,1,0,12,0,2,0,9,0,0
Email 58,2,3,1,2,1,0,17,6,0,4,2,4,2
Email 59,0,1,6,2,1,0,21,0,2,1,6,1,0
Email 60,0,0,1,1,0,0,5,0,0,1,1,0,0
Email 61,0,4,2,0,1,1,22,2,0,6,3,4,0
Email 62,0,1,1,0,4,1,15,4,1,4,3,3,0
Email 63,5,4,8,4,5,1,46,1,1,12,17,3,0
Email 64,0,1,8,0,1,0,13,0,3,1,5,1,0
Email 65,1,5,2,0,0,3,65,4,0,10,12,6,0
Email 66,16,7,1,2,5,2,52,1,1,19,3,2,1
Email 67,0,0,1,0,1,0,3,0,0,1,1,0,0
Email 68,11,10,15,6,7,6,80,0,11,10,31,5,0
Email 69,2,5,2,0,0,0,43,0,0,5,7,1,0
Email 70,23,12,11,3,15,2,128,1,6,28,28,11,4
Email 71,2,1,1,0,0,0,8,1,0,3,6,3,1
Email 72,0,6,1,0,0,0,19,0,0,5,7,4,0
Email 73,0,2,1,4,1,0,37,4,0,6,14,4,0
Email 74,0,0,1,0,0,0,7,0,0,4,3,0,0
Email 75,6,3,1,1,1,3,26,0,0,2,4,3,1
Email 76,0,1,2,0,1,0,13,0,0,0,5,0,0
Email 77,5,3,1,1,1,2,22,0,0,7,1,6,1
Email 78,9,3,1,2,2,4,28,0,0,8,5,10,2
Email 79,3,1,1,0,1,1,19,0,0,2,6,1,1
Email 80,13,11,5,4,9,12,168,7,0,27,39,21,1
Email 81,3,0,1,1,0,1,10,1,0,4,0,1,0
Email 82,0,0,1,0,0,0,5,0,1,0,1,1,0
Email 83,1,1,1,1,1,0,13,1,0,3,3,2,0
Email 84,12,15,1,12,7,1,231,10,0,51,33,4,1
Email 85,7,1,4,2,0,2,28,1,1,6,6,6,1
Email 86,8,3,13,4,2,4,45,1,7,3,5,5,2
Email 87,0,0,1,0,1,0,3,0,0,0,2,0,0
Email 88,0,1,1,0,0,0,3,0,0,0,0,0,0
Email 89,0,0,1,0,1,0,3,0,0,1,1,0,0
Email 90,3,2,1,0,2,0,18,1,0,0,2,0,0
Email 91,1,0,1,0,0,0,4,0,0,0,0,0,0
Email 92,8,5,2,0,2,0,34,1,0,6,4,3,2
